"Time 1
performance","Time 2
performance","Time 3
performance","Time 4
performance"
0.53,0.52,0.97,0.66
0.34,0.42,0.79,0.75
0.51,0.77,0.82,0.48
0.57,0.72,0.85,0.45
0.47,0.61,0.73,0.67
0.47,0.53,0.75,0.65
0.46,0.82,0.83,0.71
0.58,0.42,0.88,0.67
0.64,0.6,0.87,0.63
0.67,0.53,0.65,0.47
0.55,0.58,0.73,0.73
0.57,0.65,0.72,0.59
0.4,0.43,0.79,0.67
0.61,0.36,0.85,0.57
0.56,0.61,0.78,0.76
0.46,0.47,0.67,0.42
0.34,0.62,0.96,0.73
0.48,0.51,0.83,0.67
0.62,0.63,0.81,0.57
0.66,0.62,0.73,1
0.6,0.56,1,0.68
0.51,0.63,0.8,0.57
0.69,0.6,0.85,0.37
0.48,0.42,0.66,0.67
0.61,0.44,0.95,0.88
0.46,0.57,0.83,0.64
0.39,0.71,0.86,0.5
0.54,0.59,0.7,0.64
